PLATE,CH_CODE,ENDO_DATE,CLIENT,CAR_MODEL,PLATE_NUMBER_NORMALIZED
B2E759,01RBA2411-52,2024-11-22,ROB AUTO,2017 MITSUBISHI Montero Sport GLS Premium 2.4D 2WD A/T,B2E759
OV3553,01RBA2411-53,2024-11-22,ROB AUTO,NISSAN ALMERA 1.5L BASE MT 2016,OV3553
S7L472,01RBA2411-54,2024-11-22,ROB AUTO,2022 TOYOTA VIOS 1.3 XLE CVT,S7L472
K1 X690,01RBA2411-55,2024-11-22,ROB AUTO,2021 HYUNDAI KONA 2.0 GLS 6 AT,K1X690
NP-4300,01RBA2411-56,2024-11-22,ROB AUTO,2016 MITSUBISHI ADVENTURE GLX 2.5D MT,NP4300
E2S660,01RBA2411-57,2024-11-22,ROB AUTO,2021 HONDA BR-V 1.5 S CVT,E2S660
MS3006,01RBA2411-58,2024-11-22,ROB AUTO,2017 HYUNDAI Accent 1.4 GL MT,MS3006
DV8229,01RBA2411-59,2024-11-22,ROB AUTO,2017 HONDA Mobillo 1.5 E MT,DV8229
MR7816,01RBA2411-60,2024-11-22,ROB AUTO,2017 HYUNDAI Tucson 2.0 CRDI GL 4x2 AT,MR7816
Y3X217,01RBA2412-1,2024-12-11,ROB AUTO,2024 MITSUBISHI MIRAGE G4 G4 1.2L GLX CVT,Y3X217
F2i230,01RBA2412-2,2024-12-11,ROB AUTO,2019 NISSAN NAVARA 4x2 EL MT Calibre,F2I230
K1X889,01RBA2412-3,2024-12-11,ROB AUTO,2021 HYUNDAI REINA 1.4 GL AT W/ AVN,K1X889
W0S259,01RBA2412-5,2024-12-11,ROB AUTO,2022 MG ZS 1.5L ALPHA AT,W0S259
G3Y499,01RBA2412-6,2024-12-11,ROB AUTO,2022 SUZUKI Swift 1.2L GL CVT,G3Y499
S5Y235,01RBA2412-7,2024-12-11,ROB AUTO,2022 TOYOTA Rush 1.5 G AT,S5Y235
Y1I410,01RBA2412-8,2024-12-11,ROB AUTO,2023 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),Y1I410
B8M036,01RBA2412-9,2024-12-11,ROB AUTO,2021 MITSUBISHI XPANDER GLS 1.5G 2WD AT,B8M036
B5U227,01RBA2412-10,2024-12-11,ROB AUTO,2019 MITSUBISHI MONTERO SPORT GLX 2.4D 2WD MT,B5U227
B9K 919,01RBA2412-11,2024-12-11,ROB AUTO,2022 MITSUBISHI Strada 2.4D GLS 4X2 MT,B9K919
A5K069,01RBA2412-12,2024-12-11,ROB AUTO,2018 TOYOTA Avanza1.3 E AT,A5K069
B9T074,01RBA2412-13,2024-12-11,ROB AUTO,2022 MITSUBISHI L300 FB EXCEED DUAL A/C MT EURO4,B9T074
C3M202,01RBA2412-15,2024-12-11,ROB AUTO,2021 FORD RANGER FX4 2.2L 4X2 MT,C3M202
F0O863,01RBA2412-16,2024-12-11,ROB AUTO,2018 NISSAN ALMERA 1.5 E AT,F0O863
B4C017,01RBA2412-18,2024-12-11,ROB AUTO,2018 MITSUBISHI MONTERO SPORT GLS 2.4D 2WD A/T,B4C017
B7S063,01RBA2412-19,2024-12-11,ROB AUTO,2020 MITSUBISHI L300 CC exceed FB Body w/ DUal AC,B7S063
B6 C979,01RBA2412-21,2024-12-11,ROB AUTO,2019  MITSUBISHI  MIRAGE G4 G4 1.2G GLS CVT (A/T),B6C979
K0 O603,01RBA2412-23,2024-12-11,ROB AUTO,2019 HYUNDAI Accen 1.4 GL AT W/O SRS,K0O603
MR7550,01RBA2412-24,2024-12-11,ROB AUTO,2017 HYUNDAI Accent 1.6 CRDi E AT,MR7550
MR1651,01RBA2412-25,2024-12-11,ROB AUTO,HYUNDAI ACCENT 1.4 GL AT CVT 2017,MR1651
MR6924,01RBA2412-26,2024-12-11,ROB AUTO,2017 HYUNDAI Accent 1.4 GL CVT,MR6924
G0T329,01RBA2412-27,2024-12-11,ROB AUTO,2018 SUZUKI Ciaz 1.4 GL MT,G0T329
B2U002,01RBA2412-30,2024-12-11,ROB AUTO,2018 MITSUBISHI MONTERO SPORT 4x2 GLS AT,B2U002
C4L358,01RBA2412-34,2024-12-11,ROB AUTO,2023 FORD RANGER 2.2L XLT 4x2 6AT,C4L358
VO7332,01RBA2412-35,2024-12-11,ROB AUTO,2017 TOYOTA Avanza 1.5 G MT,VO7332
F3N091,01RBA2412-36,2024-12-11,ROB AUTO,2020 NISSAN ALMERA N17 1.5L BASE AT MC EURO4,F3N091
B1G894,01RBA2412-37,2024-12-11,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLX CVT,B1G894
VQ1214,01RBA2412-38,2024-12-11,ROB AUTO,2017 TOYOTA Vios 1.3 E MT,VQ1214
W0L627,01RBA2412-39,2024-12-11,ROB AUTO,2020 MG ZS 1.5 NA 4 AT STYLE,W0L627
B4I848,01RBA2412-40,2024-12-11,ROB AUTO,2019 MITSUBISHI XPANDER GLX PLUS 1.5G 2WD AT,B4I848
ROF092,01RBA2412-42,2024-12-11,ROB AUTO,2018 SUBARU XV 2.0i-S Premium CVT w/ Eyesight,ROF092
NO2015,01RBA2412-43,2024-12-11,ROB AUTO,2017 MITSUBISHI Strada GLX 2.5D 2WD MT,NO2015
RK4948,01RBA2412-46,2024-12-11,ROB AUTO,2017 MAZDA Mazda 2 1.5L SkyActiv V,RK4948
S7F634,01RBA2412-48,2024-12-11,ROB AUTO,2022 TOYOTA RAIZE 1.2 E CVT,S7F634
F0I824,01RBA2412-50,2024-12-11,ROB AUTO,2018 NISSAN ALMERA 1.5L Base MT MC,F0I824
Y0X523,01RBA2412-51,2024-12-11,ROB AUTO,2023 MITSUBISHI Strada GLS 4x2 A/T,Y0X523
NS0365,01RBA2412-55,2024-12-11,ROB AUTO,2017 MITSUBISHI Mirage HB 1.2L GLX CVT Upgraded,NS0365
B7W017,01RBA2412-57,2024-12-11,ROB AUTO,2020 MITSUBISHI XPANDER GLS 1.5G 2WD AT,B7W017
NK8775,01RBA2412-58,2024-12-11,ROB AUTO,MITSUBISHI MIRAGE G4 GLS 1.2 G MT 2015,NK8775
MS4902,01RBA2412-59,2024-12-11,ROB AUTO,2017 HYUNDAI Elantra 1.6 GL AT,MS4902
NM-2153,01RBA2412-60,2024-12-11,ROB AUTO,2016 MITSUBISHI STRADA GLX 4X2 MT,NM2153
B2W216,01RBA2412-61,2024-12-11,ROB AUTO,2018 MITSUBISHI Montero Sport GLS 2.4D 2WD A/T,B2W216
F0H368,01PSA2211-55,2023-02-20,PSB AUTO,2018 NISSAN URVAN NV350 2.5L M/T PREMIUM,F0H368
P2C792,01PSA2211-57,2023-02-23,PSB AUTO,2019 TOYOTA HILUX 2.4G 4x2 A/T,P2C792
